species,Seed.length.mm,seed size source,seed.weight,Seed.weight.datasource,,,,,,
Rafinesquia.californica,,,0.92,https://ser-sid.org/species/28e61887-f027-4e19-9bfb-8d1fa3aaf41a,,,,,,
Rafinesquia.neomexicana,,,3.86,https://ser-sid.org/species/efa60de4-f80d-40f5-81ad-e17eb39bcc46,,,,,,
Salvia.carduacea,,,2.11,https://ser-sid.org/species/e7ccdd45-63d7-4f70-b54c-095e50d03a17,,,,,,
Salvia.columbariae,,,0.71,https://ser-sid.org/species/8ac7ecbc-ea83-48d9-9913-b5775a38b751,,,,,,
Schismus.barbatus,,,0.07,https://ser-sid.org/species/26b1d529-c252-4fff-a287-fd6624888d53,,,,,,
Sisymbrium.altissimum,,,0.19,https://ser-sid.org/species/e2f981d4-b5e3-4c96-bc68-4cf80ec76c4e,,,,,,
spikygren.CUY1 NA,,,1.5,https://ser-sid.org/species/4999962c-8d4e-4378-bd29-1b79b884e55f,,,,,,
Stephanomeria.exigua,,,0.39,https://ser-sid.org/species/687c6493-8b0f-4197-8726-a402822f7cef,,,,,,
Stipa.pulchra,,,7.3,https://ser-sid.org/species/00ba1e55-835c-4eeb-a74a-19881a924be2,,,,,,
Stylocline.micropoides,,,0.16,https://ser-sid.org/species/cc53232a-e966-444a-aa0a-0e5d798702b2,,,,,,
unknownallgreenCUY1 NA,,,,,,,,,,
