slide.id,rep,color,sample,ant.species,year,Season,site,webers,mandible,
15,9,orange,O5,Dorymyrmex insanus,2024,spring,Sheephole,1.272,0.467,
15,10,pink,O5,Dorymyrmex insanus,2024,spring,Sheephole,1.168,0.418,
14,7,red,S30,Forelius pruinosis,2023,spring,Sheephole,0.781,0.315,
14,8,blue,S20,Forelius pruinosis,2024,spring,Sheephole,0.781,0.367,
18,7,red,O25,Leptothorax,2023,summer,Sheephole,0.61,0.306,
18,8,blue,O4,Leptothorax,2024,spring,Sheephole,0.541,0.302,
16,7,red,O24,Monomorium ergotyna/minima,2023,spring,Sheephole,0.652,0.344,
16,8,blue,S24,Monomorium ergotyna/minima,2023,spring,Sheephole,0.606,0.294,
16,9,orange,O25,Monomorium ergotyna/minima,2023,summer,Sheephole,0.62,0.335,
16,10,pink,O29,Monomorium ergotyna/minima,2023,summer,Sheephole,0.805,0.414,
16,11,gold,O30,Monomorium ergotyna/minima,2023,summer,Sheephole,0.762,0.318,
16,12,silver,S34,Monomorium ergotyna/minima,2023,summer,Sheephole,0.753,0.394,
17,1,red,O34,Myrmecocystus ewarti,2024,spring,Sheephole,1.254,0.479,
17,2,blue,S15,Myrmecocystus ewarti,2023,spring,Sheephole,1.002,0.465,
17,3,orange,S19,Myrmecocystus ewarti,2023,spring,Sheephole,1.132,0.499,
17,4,pink,S20,Myrmecocystus ewarti,2023,spring,Sheephole,1.302,0.497,
17,5,gold,S30,Myrmecocystus ewarti,2023,spring,Sheephole,1.242,0.486,
17,6,silver,S5,Myrmecocystus ewarti,2023,spring,Sheephole,1.215,0.472,
18,1,red,O15,Myrmecocystus flaviceps,2023,spring,Sheephole,1.286,0.497,
18,2,blue,S9,Myrmecocystus flaviceps,2023,spring,Sheephole,1.319,0.676,
18,3,orange,O25,Myrmecocystus flaviceps,2023,spring,Sheephole,1.327,0.518,
18,4,pink,O1,Myrmecocystus flaviceps,2023,spring,Sheephole,1.357,0.558,
18,5,gold,S19,Myrmecocystus flaviceps,2024,spring,Sheephole,1.284,0.457,
17,7,red,O5,Myrmecocystus yuma,2024,spring,Sheephole,1.043,0.484,
17,8,blue,S19,Myrmecocystus yuma,2024,spring,Sheephole,1.095,0.482,
17,9,orange,O20,Myrmecocystus yuma,2024,spring,Sheephole,1.141,0.391,
17,10,pink,O35,Myrmecocystus yuma,2023,summer,Sheephole,1.079,0.403,
17,11,gold,S5,Myrmecocystus yuma,2023,spring,Sheephole,1.107,0.466,
14,1,red,O29,Pheidole vistana,2023,spring,Sheephole,1.148,0.446,
14,2,blue,O30,Pheidole vistana,2023,spring,Sheephole,1.322,0.513,
14,3,orange,S30,Pheidole vistana,2023,spring,Sheephole,1.361,0.47,
14,4,pink,O4,Pheidole vistana,2023,summer,Sheephole,1.238,0.441,
14,5,gold,S15,Pheidole vistana,2023,summer,Sheephole,1.111,0.378,
