Year,Visit,Site,Microsite,Rep,Size,ending.weight,,,,
2023,Summer,Yucca Grove,open,22,med,1.8,,,,
2023,Summer,Yucca Grove,shrub,23,large,0.6,,,,
2023,Summer,Yucca Grove,open,23,large,disturbed,,,,
2023,Summer,Yucca Grove,shrub,26,small,disturbed,,,,
2023,Summer,Yucca Grove,open,26,small,disturbed,,,,
2023,Summer,Yucca Grove,shrub,27,med,disturbed,,,,
2023,Summer,Yucca Grove,open,27,med,disturbed,,,,
2023,Summer,Yucca Grove,shrub,28,large,1.5,,,,
2023,Summer,Yucca Grove,open,28,large,0.1,,,,
2023,Summer,Tecopa,shrub,1,small,0,,,,
2023,Summer,Tecopa,open,1,small,0,,,,
2023,Summer,Tecopa,shrub,2,med,0,,,,
2023,Summer,Tecopa,open,2,med,0,,,,
2023,Summer,Tecopa,shrub,3,large,0,,,,
2023,Summer,Tecopa,open,3,large,0,,,,
2023,Summer,Tecopa,shrub,6,small,0,,,,
2023,Summer,Tecopa,open,6,small,0,,,,
2023,Summer,Tecopa,shrub,7,med,0,,,,
2023,Summer,Tecopa,open,7,med,0,,,,
2023,Summer,Tecopa,shrub,8,large,0,,,,
2023,Summer,Tecopa,open,8,large,0,,,,
2023,Summer,Tecopa,shrub,11,small,0,,,,
2023,Summer,Tecopa,open,11,small,0,,,,
2023,Summer,Tecopa,shrub,12,med,0,,,,
2023,Summer,Tecopa,open,12,med,0,,,,
2023,Summer,Tecopa,shrub,13,large,0,,,,
2023,Summer,Tecopa,open,13,large,0,,,,
2023,Summer,Tecopa,shrub,16,small,0,,,,
2023,Summer,Tecopa,open,16,small,0,,,,
2023,Summer,Tecopa,shrub,17,med,0,,,,
2023,Summer,Tecopa,open,17,med,0,,,,
2023,Summer,Tecopa,shrub,18,large,0,,,,
2023,Summer,Tecopa,open,18,large,0,,,,
2023,Summer,Tecopa,shrub,21,small,0,,,,
2023,Summer,Tecopa,open,21,small,0,,,,
2023,Summer,Tecopa,shrub,22,med,disturbed,,,,
2023,Summer,Tecopa,open,22,med,disturbed,,,,
2023,Summer,Tecopa,shrub,23,large,0,,,,
2023,Summer,Tecopa,open,23,large,0,,,,
2023,Summer,Tecopa,shrub,26,small,disturbed,,,,
2023,Summer,Tecopa,open,26,small,disturbed,,,,
2023,Summer,Tecopa,shrub,27,med,disturbed,,,,
2023,Summer,Tecopa,open,27,med,0,,,,
2023,Summer,Tecopa,shrub,29,large,0,,,,
2023,Summer,Tecopa,open,29,large,0,,,,
2023,Summer,Tecopa,shrub,31,small,0,,,,
2023,Summer,Tecopa,open,31,small,0,,,,
2023,Summer,Tecopa,shrub,32,med,0,,,,
2023,Summer,Tecopa,open,32,med,disturbed,,,,
2023,Summer,Tecopa,shrub,33,large,disturbed,,,,
