Year,Visit,Site,Microsite,Rep,Size,ending weight
2024,Spring,Tecopa,shrub,8,large ,1.4
2024,Spring,Tecopa,open,8,large ,1.9
2024,Spring,Tecopa,shrub,11,small,0
2024,Spring,Tecopa,open,11,small,0
2024,Spring,Tecopa,shrub,12,medium,1.9
2024,Spring,Tecopa,open,12,medium,1.7
2024,Spring,Tecopa,shrub,13,large ,1.8
2024,Spring,Tecopa,open,13,large ,2
2024,Spring,Tecopa,shrub,16,small,0.2
2024,Spring,Tecopa,open,16,small,1.7
2024,Spring,Tecopa,shrub,17,medium,0
2024,Spring,Tecopa,open,17,medium,0
2024,Spring,Tecopa,shrub,18,large ,0
2024,Spring,Tecopa,open,18,large ,0
2024,Spring,Tecopa,shrub,21,small,1.5
2024,Spring,Tecopa,open,21,small,1.7
2024,Spring,Tecopa,shrub,22,medium,0
2024,Spring,Tecopa,open,22,medium,0
2024,Spring,Tecopa,shrub,23,large ,1.1
2024,Spring,Tecopa,open,23,large ,0.9
2024,Spring,Tecopa,shrub,26,small,1.5
2024,Spring,Tecopa,open,26,small,1.7
2024,Spring,Tecopa,shrub,27,medium,1.9
2024,Spring,Tecopa,open,27,medium,1.9
2024,Spring,Tecopa,shrub,28,large ,1.9
2024,Spring,Tecopa,open,28,large ,1.8
2024,Spring,Tecopa,shrub,31,small,1.5
2024,Spring,Tecopa,open,31,small,2
2024,Spring,Tecopa,shrub,32,medium,0
2024,Spring,Tecopa,open,32,medium,1.7
2024,Spring,Tecopa,shrub,33,large ,2
2024,Spring,Tecopa,open,33,large ,1.9
2024,Spring,Tecopa,shrub,36,small,1.6
2024,Spring,Tecopa,open,36,small,not put out
2024,Spring,Tecopa,shrub,37,medium,1.8
2024,Spring,Tecopa,open,37,medium,1.4
2024,Spring,Tecopa,shrub,38,large ,1.9
2024,Spring,Tecopa,open,38,large ,1.8
2024,Spring,Sheephole,shrub,1,small,1.9
2024,Spring,Sheephole,open,1,small,1.8
2024,Spring,Sheephole,shrub,2,medium,1.9
2024,Spring,Sheephole,open,2,medium,1.6
2024,Spring,Sheephole,shrub,3,large ,1.6
2024,Spring,Sheephole,open,3,large ,1.2
2024,Spring,Sheephole,shrub,6,small,disturbed
2024,Spring,Sheephole,open,6,small,1.4
2024,Spring,Sheephole,shrub,7,medium,disturbed
2024,Spring,Sheephole,open,7,medium,0.9
2024,Spring,Sheephole,shrub,8,large ,1.9
2024,Spring,Sheephole,open,8,large ,0.9
2024,Spring,Sheephole,shrub,11,small,disturbed
2024,Spring,Sheephole,open,11,small,disturbed
2024,Spring,Sheephole,shrub,12,medium,disturbed
2024,Spring,Sheephole,open,12,medium,1.4
2024,Spring,Sheephole,shrub,13,large ,1.9
2024,Spring,Sheephole,open,13,large ,1.6
2024,Spring,Sheephole,shrub,16,small,1.8
2024,Spring,Sheephole,open,16,small,1.9
2024,Spring,Sheephole,shrub,17,medium,1.9
2024,Spring,Sheephole,open,17,medium,1.9
2024,Spring,Sheephole,shrub,18,large ,2
2024,Spring,Sheephole,open,18,large ,1.8
2024,Spring,Sheephole,shrub,21,small,1.9
2024,Spring,Sheephole,open,21,small,disturbed
2024,Spring,Sheephole,shrub,22,medium,2
2024,Spring,Sheephole,open,22,medium,1.9
2024,Spring,Sheephole,shrub,23,large ,1.4
2024,Spring,Sheephole,open,23,large ,disturbed
2024,Spring,Sheephole,shrub,26,small,1.3
2024,Spring,Sheephole,open,26,small,0.7
2024,Spring,Sheephole,shrub,27,medium,0.3
2024,Spring,Sheephole,open,27,medium,0.8
2024,Spring,Sheephole,shrub,28,large ,1.7
2024,Spring,Sheephole,open,28,large ,1.9
2024,Spring,Sheephole,shrub,31,small,disturbed
2024,Spring,Sheephole,open,31,small,disturbed
2024,Spring,Sheephole,shrub,32,medium,1.8
2024,Spring,Sheephole,open,32,medium,1.9
2024,Spring,Sheephole,shrub,33,large ,1.8
2024,Spring,Sheephole,open,33,large ,1.9
2024,Spring,Sheephole,shrub,36,small,disturbed
2024,Spring,Sheephole,open,36,small,1.8
2024,Spring,Sheephole,shrub,37,medium,1.9
2024,Spring,Sheephole,open,37,medium,1.8
2024,Spring,Sheephole,shrub,38,large ,1.8
2024,Spring,Sheephole,open,38,large ,1.9
